english,german,latin,system
vein,Vene,Vena,concept
venous anastomosis,Venenanastomose,Anastomosis venosa,concept
venous tree organ,Venenbaum,Arbor venosa,concept
venous trunk,Venenstamm,Truncus venosus,concept
ventricular branch of right coronary artery,Kammerast der rechten Koronararterie,Ramus ventricularis arteriae coronariae dextrae,concept
ventricular system of brain,Ventrikelsystem des Gehirns,Systema ventriculare encephali,concept
ventricular system of neuraxis,Ventrikelsystem der Neuraxis,Systema ventriculare neuraxis,concept
vertebra,Wirbel,Vertebra,concept
vertebral artery,Wirbelarterie,Arteria vertebralis,concept
vertebral column,Wirbelsäule,Columna vertebralis,concept
vertical intermediate part of longus colli,Senkrechter mittlerer Anteil des langen Halsmuskels,Pars verticalis intermedia musculi longi colli,concept
visceral peritoneum,Viszerales Bauchfell,Peritoneum viscerale,concept
viscerocranium,Gesichtsschädel,Viscerocranium,concept
vitreous body,Glaskörper,Corpus vitreum,concept
vocal ligament,Stimmband,Ligamentum vocale,concept
vocalis,Stimmmuskel,Musculus vocalis,concept
wall of abdomen,Wand des Bauches,Paries abdominis,concept
wall of abdomen proper,Wand des eigentlichen Bauches,Paries abdominis proprii,concept
wall of atrium,Wand des Vorhofs,Paries atrii,concept
wall of cardiac chamber,Wand der Herzhöhle,Paries camerae cordis,concept
wall of distal part of ileum,Wand des distalen Teils des Krummdarms,Paries partis distalis ilei,concept
wall of ileum,Wand des Krummdarms,Paries ilei,concept
wall of inflow part of left ventricle,Wand des Einflussteils der linken Herzkammer,Paries partis afferentis ventriculi sinistri,concept
wall of inflow part of right ventricle,Wand des Einflussteils der rechten Herzkammer,Paries partis afferentis ventriculi dextri,concept
wall of internal nose,Wand der inneren Nase,Paries nasi interni,concept
wall of large intestine,Wand des Dickdarms,Paries intestini crassi,concept
wall of left eyeball,Wand des linken Augapfels,Paries bulbi oculi sinistri,concept
wall of left side of heart,Wand der linken Herzhälfte,Paries lateris cordis sinistri,concept
wall of left side of internal nose,Wand der linken Seite der inneren Nase,Paries lateris nasi interni sinistri,concept
wall of left ventricle,Wand der linken Herzkammer,Paries ventriculi sinistri,concept
wall of right eyeball,Wand des rechten Augapfels,Paries bulbi oculi dextri,concept
wall of right side of heart,Wand der rechten Herzhälfte,Paries lateris cordis dextri,concept
wall of right side of internal nose,Wand der rechten Seite der inneren Nase,Paries lateris nasi interni dextri,concept
wall of right ventricle,Wand der rechten Herzkammer,Paries ventriculi dextri,concept
wall of small intestine,Wand des Dünndarms,Paries intestini tenuis,concept
white matter of neuraxis,Weiße Substanz der Neuraxis,Substantia alba neuraxis,concept
white matter of telencephalon,Weiße Substanz des Endhirns,Substantia alba telencephali,concept
zone of artery,Zone der Arterie,Zona arteriae,concept
zone of bone organ,Zone des Knochens,Zona ossis,concept
zone of cavernous organ,Zone des Schwellkörperorgans,Zona organi cavernosi,concept
zone of continuity,Zone der Kontinuität,Zona continuitatis,concept
zone of corpus spongiosum of penis,Zone des Harnröhrenschwellkörpers,Zona corporis spongiosi penis,concept
zone of cricothyroid,Zone des Ringknorpel-Schildknorpel-Muskels,Zona musculi cricothyroidei,concept
zone of deltoid,Zone des Deltamuskels,Zona musculi deltoidei,concept
zone of diencephalon,Zone des Zwischenhirns,Zona diencephali,concept
zone of fascia lata,Zone der Oberschenkelfaszie,Zona fasciae latae,concept
zone of ileum,Zone des Krummdarms,Zona ilei,concept
zone of investing fascia,Zone der Hüllfaszie,Zona fasciae investientis,concept
zone of investing fascia of free lower limb,Zone der Hüllfaszie der freien unteren Gliedmaße,Zona fasciae investientis partis liberae membri inferioris,concept
zone of investing fascia of lower limb,Zone der Hüllfaszie der unteren Gliedmaße,Zona fasciae investientis membri inferioris,concept
zone of investing fascia of thigh,Zone der Hüllfaszie des Oberschenkels,Zona fasciae investientis femoris,concept
zone of jejunum,Zone des Leerdarms,Zona jejuni,concept
zone of levator ani,Zone des Afterhebers,Zona musculi levatoris ani,concept
zone of longus colli,Zone des langen Halsmuskels,Zona musculi longi colli,concept
zone of middle cerebral artery,Zone der mittleren Hirnarterie,Zona arteriae cerebri mediae,concept
zone of muscle organ,Zone des Muskels,Zona musculi,concept
zone of neuraxis,Zone der Neuraxis,Zona neuraxis,concept
zone of oblique arytenoid,Zone des schrägen Stellknorpelmuskels,Zona musculi arytenoidei obliqui,concept
zone of pectoralis major,Zone des großen Brustmuskels,Zona musculi pectoralis majoris,concept
zone of posterior cerebral artery,Zone der hinteren Hirnarterie,Zona arteriae cerebri posterioris,concept
zone of quadriceps femoris,Zone des vierköpfigen Schenkelmuskels,Zona musculi quadricipitis femoris,concept
zone of small intestine,Zone des Dünndarms,Zona intestini tenuis,concept
zone of sternum,Zone des Brustbeins,Zona sterni,concept
zone of trapezius,Zone des Trapezmuskels,Zona musculi trapezii,concept
zone of trunk of lateral plantar artery,Zone des Stammes der seitlichen Fußsohlenarterie,Zona trunci arteriae plantaris lateralis,concept
zygomatic bone,Jochbein,Os zygomaticum,concept
